name,height,weight,reach,stance,dob
Israel Albuquerque,,185.0,,Orthodox,
Juan Alcain,,,,,
Iuri Alcantara,175.3,135.0,71.0,Southpaw,"Aug 04, 1980"
Ildemar Alcantara,188.0,185.0,78.0,Orthodox,"Nov 18, 1982"
Alfonso Alcarez,160.0,145.0,,,"Jun 10, 1970"
Gilbert Aldana,185.4,250.0,,Orthodox,"Aug 25, 1977"
Irene Aldana,175.3,135.0,68.0,Orthodox,"Mar 26, 1988"
Hector Aldana,180.3,170.0,72.0,Orthodox,"Aug 17, 1988"
Jose Alday,170.2,135.0,68.0,Orthodox,"Sep 14, 1991"
Jose Aldo,170.2,135.0,70.0,Orthodox,"Sep 09, 1986"
JJ Aldrich,165.1,125.0,67.0,Southpaw,"Sep 29, 1992"
Irina Alekseeva,172.7,135.0,67.0,Orthodox,"Jun 27, 1990"
Talita Alencar,154.9,115.0,58.0,Orthodox,"Oct 17, 1990"
Jim Alers,175.3,145.0,71.0,Orthodox,"Oct 14, 1986"
John Alessio,177.8,155.0,72.0,Orthodox,"Jul 05, 1979"
Houston Alexander,182.9,205.0,72.0,Orthodox,"Mar 22, 1972"
Kenneth Alexander,175.3,155.0,,Orthodox,"Sep 25, 1977"
Lucas Alexander,180.3,145.0,73.0,Orthodox,"Jul 28, 1995"
Marcio Alexandre Junior,182.9,185.0,75.0,Southpaw,"May 05, 1989"
Olaf Alfonso,188.0,170.0,,Orthodox,"Aug 06, 1974"
Pablo Alfonso,172.7,145.0,,,"May 09, 1983"
Levi Alford,,,,,
Bill Algeo,182.9,145.0,73.0,Switch,"Jun 09, 1989"
Royce Alger,177.8,199.0,,Orthodox,"Mar 06, 1965"
Amir Aliakbari,190.5,250.0,,,"Jun 10, 1984"
Sultan Aliev,180.3,170.0,74.0,Orthodox,"Sep 17, 1984"
Nurullo Aliev,177.8,155.0,72.0,Orthodox,"Dec 08, 2000"
Ikram Aliskerov,182.9,185.0,76.0,Southpaw,"Dec 07, 1992"
Leon Aliu,182.9,185.0,74.0,Orthodox,"Jul 14, 1989"
John Allan,185.4,205.0,75.0,Orthodox,"Feb 22, 1993"
George Allen,188.0,205.0,,Open Stance,"Jan 13, 1967"
Arnold Allen,172.7,145.0,70.0,Southpaw,"Jan 22, 1994"
Brendan Allen,188.0,185.0,75.0,Orthodox,"Dec 28, 1995"
Daniel Allen,182.9,155.0,75.0,Southpaw,"Aug 10, 1992"
Ben Alloway,180.3,170.0,76.0,Orthodox,"Feb 19, 1981"
Asu Almabayev,162.6,125.0,65.0,Orthodox,"Jan 25, 1994"
Bekzat Almakhan,170.2,135.0,68.0,Orthodox,"Oct 08, 1997"
John Dave Almanza,170.2,125.0,67.0,Southpaw,"Mar 22, 2004"
Ricardo Almeida,182.9,170.0,74.0,Orthodox,"Nov 29, 1976"
Magno Almeida,182.9,155.0,,,"Jun 06, 1985"
Thomas Almeida,170.2,145.0,70.0,Southpaw,"Jul 31, 1991"
Ericka Almeida,167.6,115.0,,Orthodox,"Mar 05, 1989"
Estefani Almeida,162.6,125.0,,Orthodox,"Oct 17, 1988"
Jailton Almeida,190.5,225.0,79.0,Orthodox,"Jun 26, 1991"
Lucas Almeida,180.3,145.0,71.0,Orthodox,"Jan 31, 1991"
Cesar Almeida,185.4,185.0,74.0,Orthodox,"Mar 28, 1988"
Mauricio Alonso,188.0,170.0,,,"Feb 27, 1980"
Sarah Alpar,162.6,135.0,63.0,Southpaw,"Jun 01, 1991"
Ali AlQaisi,167.6,135.0,68.0,Orthodox,"Sep 23, 1990"
Rico Altamirano,177.8,170.0,,,
Victor Altamirano,172.7,125.0,70.0,Switch,"Jan 23, 1991"
Mike Altman,177.8,185.0,,Orthodox,
Patricia Alujas,162.6,115.0,64.0,Orthodox,"May 08, 1996"
Sean Alvarez,182.9,235.0,,Orthodox,"Jul 14, 1971"
Eddie Alvarez,175.3,155.0,69.0,Orthodox,"Jan 11, 1984"
Jaime Alvarez,172.7,125.0,69.0,Orthodox,"Mar 08, 1988"
Joel Alvarez,190.5,155.0,77.0,Orthodox,"Mar 02, 1993"
Thiago Alves,175.3,170.0,70.0,Orthodox,"Oct 03, 1983"
Anthony Alves,,,,,
Amilcar Alves,182.9,170.0,,Southpaw,"Aug 08, 1988"
Warlley Alves,180.3,185.0,72.0,Orthodox,"Jan 04, 1991"
Rafael Alves,172.7,155.0,68.0,Orthodox,"Nov 14, 1990"
Sam Alvey,188.0,185.0,75.0,Southpaw,"May 06, 1986"
Christopher Alvidrez,182.9,170.0,74.0,Orthodox,"Dec 27, 1996"
Mahamed Aly,188.0,205.0,78.0,Orthodox,"Jan 11, 1994"
Andre Amado,182.9,154.0,,Orthodox,"Oct 09, 1983"
Adlan Amagov,188.0,170.0,76.0,Orthodox,"Oct 30, 1986"
Maiara Amanajas dos Santos,165.1,115.0,,Southpaw,"Jul 11, 1987"
Chris Amarante,,185.0,,,
Jimmy Ambriz,188.0,315.0,,Southpaw,"Jan 26, 1970"
JJ Ambrose,177.8,170.0,,Orthodox,"Feb 06, 1987"
Alen Amedovski,177.8,185.0,74.0,Orthodox,"Apr 06, 1988"
Hyder Amil,175.3,145.0,70.0,Switch,"May 28, 1990"
Hamid Amiri,,145.0,,,"Jun 15, 2003"
Makwan Amirkhani,177.8,145.0,72.0,Southpaw,"Nov 08, 1988"
Jaqueline Amorim,160.0,115.0,68.0,Orthodox,"Jun 24, 1995"
Yaroslav Amosov,182.9,170.0,75.0,Orthodox,"Sep 09, 1993"
Bertrand Amoussou,172.7,190.0,,Orthodox,"May 28, 1966"
Karl Amoussou,180.3,185.0,,Orthodox,"Nov 21, 1985"
Eryk Anders,185.4,185.0,75.0,Southpaw,"Apr 21, 1987"
Matt Andersen,188.0,230.0,,Southpaw,"May 29, 1971"
Andy Anderson,167.6,240.0,,,"Jul 16, 1974"
Lowell Anderson,167.6,160.0,,Orthodox,
Corey Anderson,190.5,205.0,79.0,Orthodox,"Sep 22, 1989"
Derek Anderson,182.9,155.0,,,"Feb 02, 1990"
Megan Anderson,182.9,145.0,72.0,Orthodox,"Feb 11, 1990"
Liam Anderson,190.5,185.0,75.0,Orthodox,"Jan 13, 1995"
Tatsuya Ando,162.6,145.0,68.0,Southpaw,"Apr 26, 1990"
Alex Andrade,180.3,200.0,,Orthodox,"May 14, 1974"
Jessica Andrade,154.9,115.0,62.0,Orthodox,"Sep 25, 1991"
Viscardi Andrade,180.3,170.0,75.0,Orthodox,"Mar 08, 1984"
Jermaine Andre,170.2,200.0,,Orthodox,"Jul 16, 1973"
Fellipe Andrew,,,,,"Oct 24, 1994"
Dylan Andrews,185.4,185.0,74.0,Switch,"Nov 15, 1979"
Reese Andy,182.9,205.0,,Orthodox,"Mar 31, 1973"
Angga,170.2,145.0,68.0,Orthodox,"Jan 13, 1989"
Julius Anglickas,190.5,205.0,,Orthodox,"Jul 23, 1991"
Collin Anglin,175.3,145.0,71.0,Orthodox,"Feb 20, 1993"
Chad Anheliger,167.6,135.0,64.0,Orthodox,"Dec 01, 1986"
Yoji Anjo,180.3,205.0,,Orthodox,"Mar 28, 1967"
Magomed Ankalaev,190.5,205.0,75.0,Orthodox,"Jun 02, 1992"
Gadzhimurad Antigulov,180.3,205.0,70.0,Orthodox,"Feb 09, 1987"
Adam Antolin,165.1,125.0,63.0,Orthodox,"Feb 28, 1982"
Angelo Antonio,,205.0,,Orthodox,"Oct 04, 1998"
Vanilto Antunes,182.9,170.0,72.0,Orthodox,"Dec 28, 1994"
Azunna Anyanwu,185.4,251.0,,Orthodox,"Aug 05, 1981"
Shinsho Anzai,170.2,170.0,70.0,Orthodox,"Dec 01, 1985"
Jin Aoi,167.6,145.0,68.0,Orthodox,"Jan 21, 1997"
Shinya Aoki,180.3,154.0,,Southpaw,"May 09, 1983"
Aoriqileng,170.2,135.0,69.0,Orthodox,"Jun 25, 1993"
Josh Appelt,177.8,255.0,,Southpaw,"Jun 19, 1983"
Erik Apple,182.9,170.0,,Orthodox,"Aug 26, 1977"
Kenji Arai,177.8,145.0,,Southpaw,"Oct 05, 1979"
Romie Aram,177.8,170.0,,Orthodox,"Dec 02, 1977"
Felipe Arantes,172.7,135.0,73.0,Orthodox,"Feb 09, 1988"
Igor Araujo,185.4,170.0,77.0,Orthodox,"Dec 06, 1980"
Viviane Araujo,162.6,125.0,68.0,Orthodox,"Nov 21, 1986"
Julio Arce,170.2,145.0,70.0,Southpaw,"Oct 27, 1989"
Art Arciniega,172.7,145.0,,,"Oct 15, 1981"
Alice Ardelean,160.0,115.0,62.0,Orthodox,"Apr 19, 1992"
Tristan Arenal,,155.0,,,"Mar 06, 1985"
Gabriel Arges,,170.0,,,"Jan 29, 1993"
Dan Argueta,170.2,135.0,68.0,Southpaw,"Aug 13, 1993"
Reza Arianto,,155.0,,,
Hashem Arkhagha,188.0,185.0,75.0,Orthodox,"Sep 11, 1989"
Andrei Arlovski,190.5,240.0,77.0,Orthodox,"Feb 04, 1979"
Garrett Armfield,167.6,135.0,70.0,Orthodox,"Oct 09, 1996"
Joey Armstrong,,,,,
Austin Arnett,182.9,145.0,72.0,Orthodox,"Oct 22, 1991"
Ricardo Arona,180.3,205.0,,Orthodox,"Jul 17, 1978"
Eli Aronov,177.8,185.0,72.0,Orthodox,"Jun 06, 1996"
Chalid Arrab,180.3,205.0,,Orthodox,"May 28, 1975"
Akbarh Arreola,177.8,155.0,71.0,Southpaw,"Jan 14, 1983"
Matt Arroyo,177.8,170.0,72.0,Orthodox,"Sep 01, 1982"
Antonio Arroyo,190.5,185.0,73.0,Orthodox,"Jul 01, 1989"
Gilles Arsene,175.3,190.0,,Southpaw,"Dec 23, 1970"
Veta Arteaga,170.2,125.0,,,
Cesar Arzamendia,180.3,155.0,,Orthodox,"Jan 31, 1991"
Kai Asakura,172.7,125.0,69.0,Orthodox,"Oct 31, 1993"
Teddy Ash,185.4,185.0,73.0,Switch,"Dec 27, 1989"
Arman Ashimov,167.6,125.0,,,"Jan 14, 1992"
Yanal Ashmouz,175.3,155.0,69.0,Orthodox,"Mar 31, 1995"
Asjabharan,167.6,135.0,,,"Jul 31, 1992"
Askar Askar,170.2,145.0,69.0,Orthodox,"Aug 19, 1994"
Askar Askarov,167.6,125.0,67.0,Orthodox,"Oct 09, 1992"
Cyril Asker,182.9,247.0,74.0,Orthodox,"Dec 24, 1985"
Khusein Askhabov,172.7,145.0,69.0,Orthodox,"Feb 13, 1995"
Scott Askham,190.5,185.0,75.0,Southpaw,"May 20, 1988"
Ben Askren,180.3,170.0,73.0,Orthodox,"Jul 18, 1984"
Ibo Aslan,190.5,205.0,77.0,Orthodox,"Apr 23, 1996"
Tom Aspinall,195.6,255.0,78.0,Orthodox,"Apr 11, 1993"
Steven Asplund,195.6,260.0,78.0,Orthodox,"Jul 16, 1998"
Bruno Assis,188.0,185.0,,Orthodox,"May 23, 1992"
Junior Assuncao,175.3,145.0,72.0,Orthodox,"Jun 24, 1981"
Raphael Assuncao,165.1,135.0,66.0,Orthodox,"Jul 19, 1982"
Michael Aswell Jr.,172.7,145.0,69.0,Orthodox,"Sep 27, 2000"
Bazigit Atajev,185.4,230.0,,Orthodox,"Mar 12, 1979"
Rich Attonito,177.8,170.0,72.0,Orthodox,"Jun 16, 1977"
Olivier Aubin-Mercier,175.3,155.0,70.0,Southpaw,"Feb 23, 1989"
Pat Audinwood,182.9,155.0,,Orthodox,"Apr 16, 1986"
Jose Augusto,190.5,251.0,,,"Mar 28, 1992"
Marcus Aurelio,177.8,155.0,74.0,Orthodox,"Aug 18, 1973"
David Avellan,175.3,185.0,,Orthodox,"Jul 07, 1981"
Blas Avena,182.9,170.0,74.0,Orthodox,"Jun 30, 1983"
Levi Avera,185.4,170.0,,,"May 17, 1982"
Anthony Avila,170.2,145.0,,,"Dec 29, 1988"
Chris Avila,177.8,145.0,,Orthodox,"Jan 16, 1993"
Julia Avila,170.2,135.0,68.0,Orthodox,"May 11, 1988"
Saad Awad,180.3,155.0,,,"Jun 07, 1983"
Javy Ayala,185.4,265.0,,,"Aug 20, 1988"
Jessin Ayari,182.9,155.0,73.0,Orthodox,"May 31, 1992"
Abu Azaitar,175.3,185.0,76.0,Orthodox,"Mar 10, 1986"
Ottman Azaitar,172.7,155.0,71.0,Switch,"Feb 20, 1990"
Luiz Azeredo,175.3,154.0,,Orthodox,"Jun 10, 1976"
Luciano Azevedo,190.5,161.0,,Orthodox,"Jun 25, 1981"
Hunter Azure,172.7,145.0,69.0,Orthodox,"Mar 02, 1992"
Niklas Backstrom,185.4,145.0,,Orthodox,"Aug 22, 1989"
Seth Baczynski,190.5,170.0,75.0,Orthodox,"Oct 26, 1981"
Abdul Azeem Badakhshi,,145.0,,,
Ryan Bader,188.0,205.0,74.0,Orthodox,"Jun 07, 1983"
Izabela Badurek,165.1,115.0,,Orthodox,"Jul 11, 1991"
Miguel Baeza,188.0,170.0,74.0,Orthodox,"Aug 23, 1992"
Ali Bagautinov,162.6,125.0,65.0,Orthodox,"Jun 10, 1985"
Mehdi Baghdad,185.4,155.0,,Orthodox,"Apr 13, 1985"
Melsik Baghdasaryan,175.3,145.0,70.0,Southpaw,"Jan 28, 1992"
Siyar Bahadurzada,180.3,170.0,73.0,Orthodox,"Apr 17, 1984"
Ignacio Bahamondes,190.5,155.0,75.0,Orthodox,"Aug 27, 1997"
Bahatebole Batebolati,172.7,170.0,71.0,Southpaw,"Sep 12, 1997"
Shamar Bailey,175.3,155.0,75.0,Southpaw,"Sep 22, 1982"
Jordan Bailey,175.3,145.0,,,
Scott Baker,182.9,210.0,,,
Bryan Baker,190.5,185.0,,Orthodox,"Oct 13, 1985"
Jin Bala,175.3,155.0,,,
Balajin,175.3,145.0,72.0,Orthodox,"Mar 31, 1992"
Oluwale Bamgbose,180.3,185.0,78.0,Switch,"Aug 04, 1987"
Stephen Banaszak,182.9,145.0,,,"Dec 07, 1990"
Marcin Bandel,177.8,155.0,,Orthodox,"Oct 10, 1989"
Humberto Bandenay,180.3,145.0,71.0,Southpaw,"Sep 04, 1994"
Tae Hyun Bang,175.3,155.0,71.0,Switch,"Apr 15, 1983"
Yohan Banks,,,,,
Shauna Bannon,165.1,115.0,65.0,Switch,"Oct 23, 1993"
Antonio Banuelos,165.1,135.0,63.0,Orthodox,"Sep 23, 1979"
Iwo Baraniewski,182.9,205.0,73.0,Orthodox,"Nov 20, 1998"
Renan Barao,167.6,145.0,70.0,Orthodox,"Jan 31, 1987"
Junior Barata,177.8,170.0,,Orthodox,"Jan 25, 1982"
Maycee Barber,165.1,125.0,65.0,Switch,"May 18, 1998"
Bryan Barberena,182.9,185.0,72.0,Southpaw,"May 03, 1989"
Djani Barbir,190.5,185.0,79.0,Orthodox,"Aug 09, 1997"
Dione Barbosa,167.6,125.0,66.0,Orthodox,"May 08, 1992"
Marcio Barbosa,167.6,145.0,70.0,Orthodox,"May 22, 1998"
Edson Barboza,180.3,155.0,75.0,Orthodox,"Jan 21, 1986"
Raoni Barcelos,170.2,135.0,67.0,Orthodox,"May 01, 1987"
Daniel Barez,167.6,125.0,66.0,Orthodox,"Dec 10, 1988"
Danny Barlow,188.0,185.0,79.0,Southpaw,"Aug 02, 1995"
Luke Barnatt,198.1,185.0,77.0,Orthodox,"Apr 13, 1988"
James Barnes,172.7,135.0,71.0,Orthodox,"May 28, 1982"
Nick Barnes,180.3,170.0,,,
Shonte Barnes,180.3,185.0,76.0,Southpaw,"Feb 09, 1987"
Josh Barnett,190.5,250.0,78.0,Orthodox,"Nov 10, 1977"
Chris Barnett,175.3,261.0,75.0,Orthodox,"Jun 14, 1986"
Chris Barnhizer,,,,,"Oct 25, 1987"
David Baron,167.6,155.0,,Switch,"Feb 15, 1973"
Phil Baroni,175.3,170.0,72.0,Orthodox,"Apr 16, 1976"
Dan Barrera,175.3,170.0,,Orthodox,"Dec 23, 1980"
Carlos Barreto,193.0,230.0,,Orthodox,"Jul 22, 1968"
Jose Barreto,,185.0,,Southpaw,
Peter Barrett,177.8,145.0,73.0,Southpaw,"Aug 10, 1986"
Marc-Andre Barriault,185.4,185.0,74.0,Orthodox,"Feb 18, 1990"
David Barrios,167.6,145.0,,,
Alexandre Barros,175.3,170.0,,Southpaw,"Nov 19, 1976"
Ricardo Barros,185.4,205.0,,,"Mar 22, 1976"
Francimar Barroso,185.4,205.0,75.0,Orthodox,"Feb 28, 1980"
Pat Barry,180.3,235.0,74.0,Orthodox,"Jul 07, 1979"
Dean Barry,177.8,170.0,72.0,Orthodox,"Jul 03, 1992"
Enrique Barzola,170.2,145.0,70.0,Orthodox,"Apr 28, 1989"
Javid Basharat,175.3,135.0,69.0,Orthodox,"Sep 07, 1995"
Farid Basharat,172.7,135.0,71.0,Orthodox,"Aug 02, 1997"
Austin Bashi,167.6,145.0,70.0,Orthodox,"Sep 29, 2001"
Stephen Bass,175.3,145.0,,Orthodox,"Nov 14, 1982"
Sean Bassett,,155.0,,,
Ryan Bastianelli,165.1,135.0,,,"Sep 07, 1979"
Shayna Baszler,170.2,135.0,,Orthodox,"Aug 08, 1980"
Namsrai Batbayar,162.6,125.0,68.0,Orthodox,"Dec 29, 2000"
Michel Batista,190.5,260.0,,Orthodox,"Apr 20, 1984"
Bryan Battle,185.4,185.0,77.0,Orthodox,"Sep 21, 1994"
Alan Baudot,190.5,243.0,79.0,Orthodox,"Feb 01, 1988"
Mario Bautista,175.3,135.0,69.0,Switch,"Jul 01, 1993"
Chris Beal,170.2,125.0,69.0,Orthodox,"Aug 06, 1985"
Donovan Beard,188.0,185.0,78.0,Orthodox,"Nov 05, 1989"
Rudy Bears,180.3,170.0,,Southpaw,"Jan 19, 1979"
Salvador Becerra,175.3,155.0,,,
Ariel Beck,167.6,125.0,66.0,Southpaw,"Sep 16, 1990"
Jack Becker,177.8,155.0,71.0,Orthodox,"Dec 20, 1992"
Jeff Bedard,167.6,145.0,,Orthodox,"Feb 06, 1970"
Eric Bedard,188.0,239.0,,,"Sep 11, 1984"
Johnny Bedford,177.8,135.0,71.0,Orthodox,"Jan 06, 1983"
Rolando Bedoya,180.3,155.0,74.0,Orthodox,"Jan 13, 1997"
Chase Beebe,170.2,135.0,67.0,Orthodox,"Mar 29, 1985"
Lyle Beerbohm,177.8,155.0,,Southpaw,"Feb 05, 1979"
Allan Begosso,165.1,135.0,66.0,Orthodox,"Nov 23, 1995"
Azamat Bekoev,182.9,185.0,72.0,Orthodox,"Dec 30, 1995"
Mirsad Bektic,172.7,145.0,70.0,Orthodox,"Feb 16, 1991"
Diana Belbita,170.2,125.0,68.0,Orthodox,"Jun 26, 1996"
Alan Belcher,188.0,185.0,75.0,Orthodox,"Apr 24, 1984"
Vitor Belfort,182.9,185.0,74.0,Southpaw,"Apr 01, 1977"
Yousri Belgaroui,198.1,185.0,79.0,Orthodox,"Jun 02, 1992"
Rodolfo Bellato,190.5,205.0,75.0,Orthodox,"Feb 05, 1996"
Danilo Belluardo,182.9,155.0,74.0,Southpaw,"Jul 21, 1994"
Joey Beltran,185.4,185.0,75.0,Orthodox,"Dec 08, 1981"
Marco Beltran,172.7,125.0,69.0,Orthodox,"May 18, 1986"
Joseph Benavidez,162.6,125.0,65.0,Southpaw,"Jul 31, 1984"
Mike Bencic,182.9,215.0,,Orthodox,"Jul 03, 1966"
Dave Beneteau,188.0,250.0,,Orthodox,
Karla Benitez,160.0,113.0,,,"Feb 15, 1979"
Gabriel Benitez,172.7,155.0,71.0,Southpaw,"Jun 15, 1988"
Charles Bennett,172.7,155.0,,Orthodox,"Nov 23, 1979"
Josh Bennett,193.0,259.0,,Orthodox,
DeAnna Bennett,162.6,125.0,68.0,Orthodox,"Nov 18, 1984"
Benjamin Bennett,182.9,170.0,73.0,Switch,"May 08, 1994"
Lance Benoist,180.3,170.0,72.0,Southpaw,"Aug 26, 1988"
Joe Benoit,175.3,170.0,,Orthodox,"Mar 12, 1982"
Ryan Benoit,165.1,125.0,68.0,Orthodox,"Aug 25, 1989"
Pat Benson,175.3,155.0,,,"Jul 14, 1974"
Len Bentley,175.3,155.0,,,"Nov 30, 1982"
Steve Berger,180.3,170.0,,Orthodox,"May 20, 1973"
Kenneth Bergh,188.0,205.0,74.0,Orthodox,"Jun 26, 1989"
Bret Bergmark,175.3,170.0,,,"Nov 24, 1973"
Keith Berish,182.9,205.0,,Orthodox,"Nov 14, 1985"
Dennis Bermudez,167.6,155.0,66.0,Orthodox,"Dec 13, 1986"
Manny Bermudez,177.8,145.0,71.0,Orthodox,"Jul 16, 1994"
Talita Bernardo,162.6,135.0,68.0,Orthodox,"Mar 04, 1987"
Dave Berry,,,,,
Keith Berry,185.4,185.0,,,"Oct 25, 1987"
Dieusel Berto,175.3,200.0,,,
Edson Berto,167.6,155.0,,Orthodox,"Jul 05, 1983"
Allen Berube,172.7,155.0,,Orthodox,"Aug 25, 1974"
Anton Berzin,188.0,205.0,,Orthodox,"Sep 29, 1989"
Scott Bessac,193.0,245.0,,,"Oct 05, 1965"
Matt Bessette,177.8,145.0,70.0,Orthodox,"Dec 28, 1984"
Khadzhi Bestaev,198.1,185.0,76.0,,"Jul 16, 1988"
Fernando Bettega,,170.0,,,"Mar 10, 1980"
Arjan Bhullar,185.4,245.0,75.0,Orthodox,"May 13, 1986"
KB Bhullar,193.0,185.0,78.0,Switch,"Oct 12, 1991"
Bibulatov Magomed,165.1,125.0,65.0,Orthodox,"Aug 22, 1988"
David Bielkheden,177.8,155.0,71.0,Orthodox,"Jun 06, 1979"
Blake Bilder,172.7,145.0,68.0,Switch,"Jul 12, 1990"
Jonas Bilharinho,180.3,145.0,75.0,Switch,"May 22, 1990"
Jeremiah Billington,175.3,205.0,,Orthodox,"Nov 14, 1977"
Scott Bills,177.8,170.0,,,
Anthony Birchak,172.7,135.0,69.0,Orthodox,"May 16, 1986"
Chris Birchler,190.5,205.0,,Switch,"Jun 05, 1987"
Angad Bisht,170.2,125.0,67.0,Orthodox,"Jun 05, 1995"
Michael Bisping,185.4,185.0,75.0,Orthodox,"Feb 28, 1979"
Amaury Bitetti,175.3,185.0,,Orthodox,"Apr 14, 1969"
Caio Bittencourt,182.9,185.0,75.0,Orthodox,"May 22, 1991"
Davi Bittencourt,165.1,135.0,65.0,Orthodox,"Oct 12, 1994"
Simon Biyong,,205.0,,,"Apr 05, 1991"
Jan Blachowicz,188.0,205.0,78.0,Orthodox,"Feb 24, 1983"
Jason Black,172.7,155.0,,Orthodox,"Jul 15, 1972"
Brad Blackburn,177.8,170.0,73.0,Orthodox,"May 25, 1977"
Jason Blackford,,,,,
Tom Blackledge,,205.0,,Orthodox,
Sherrard Blackledge,180.3,155.0,75.0,Orthodox,"Aug 16, 1993"
Da'Mon Blackshear,177.8,135.0,72.0,Switch,"Aug 12, 1994"
Chasen Blair,177.8,155.0,71.0,Orthodox,"Oct 14, 1998"
Erin Blanchfield,162.6,125.0,66.0,Orthodox,"May 04, 1999"
Maximo Blanco,172.7,145.0,71.0,Orthodox,"Oct 16, 1983"
David Blanco,170.2,145.0,,,
Curtis Blaydes,193.0,265.0,80.0,Orthodox,"Feb 18, 1991"
Tereza Bleda,175.3,125.0,71.0,Orthodox,"Nov 30, 2001"
Arlene Blencowe,165.1,145.0,,,"Apr 11, 1983"
Byron Bloodworth,172.7,135.0,,Orthodox,"Aug 16, 1983"
Dashawn Boatwright,182.9,205.0,,Orthodox,"Feb 29, 1988"
Dan Bobish,188.0,345.0,,Southpaw,"Jan 26, 1970"
Mark Bocek,172.7,155.0,75.0,Orthodox,"Oct 24, 1981"
Kyle Bochniak,170.2,145.0,70.0,Orthodox,"Feb 05, 1987"
James Bochnovic,193.0,205.0,81.0,Orthodox,"Feb 13, 1989"
Jeremy Boczulak,,,,,
Tim Boetsch,182.9,185.0,74.0,Orthodox,"Jan 28, 1981"
Galore Bofando,180.3,170.0,72.0,Switch,"May 22, 1982"
Jay Bogan,,145.0,,,
